n,d,k,count,endpoint,tightened_initial,tightened_prefix,initial_certified,prefix_certified,dual_certified,tightening_initial_missing,tightening_initial_mean,tightening_initial_median,tightening_initial_p90,tightening_prefix_missing,tightening_prefix_mean,tightening_prefix_median,tightening_prefix_p90,ratio_gain_initial_missing,ratio_gain_initial_mean,ratio_gain_initial_median,ratio_gain_initial_p90,ratio_gain_prefix_missing,ratio_gain_prefix_mean,ratio_gain_prefix_median,ratio_gain_prefix_p90,dual_over_optimum_missing,dual_over_optimum_mean,dual_over_optimum_median,dual_over_optimum_p90,dual_ratio_missing,dual_ratio_mean,dual_ratio_median,dual_ratio_p90,prefix_ratio_missing,prefix_ratio_mean,prefix_ratio_median,prefix_ratio_p90,initial_ratio_missing,initial_ratio_mean,initial_ratio_median,initial_ratio_p90
12,4,12,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,2,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,2,2,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,2,4,200,interior,0,0,199,199,199,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.999375,1.0,1.0,0,0.999375,1.0,1.0,0,0.999375,1.0,1.0
16,2,6,200,interior,0,0,97,97,97,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0078181818181817,1.0,1.0,0,0.9461742424242423,0.9166666666666666,1.0,0,0.9461742424242423,0.9166666666666666,1.0,0,0.9461742424242423,0.9166666666666666,1.0
16,2,8,200,interior,0,0,81,81,81,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0172802197802198,1.0,1.0714285714285714,0,0.9441733058608058,0.9333333333333333,1.0,0,0.9441733058608058,0.9333333333333333,1.0,0,0.9441733058608058,0.9333333333333333,1.0
16,2,12,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,2,16,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,3,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,3,2,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,3,3,200,interior,0,0,192,192,192,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9955555555555555,1.0,1.0,0,0.9955555555555555,1.0,1.0,0,0.9955555555555555,1.0,1.0
16,3,4,200,interior,0,0,82,82,82,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0036363636363637,1.0,1.0,0,0.9466666666666668,0.9166666666666666,1.0,0,0.9466666666666668,0.9166666666666666,1.0,0,0.9466666666666668,0.9166666666666666,1.0
16,3,6,200,interior,0,0,51,51,51,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0222619047619048,1.0,1.0666666666666667,0,0.930044642857143,0.9333333333333333,1.0,0,0.930044642857143,0.9333333333333333,1.0,0,0.930044642857143,0.9333333333333333,1.0
16,3,8,200,interior,0,0,193,193,193,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9977708333333334,1.0,1.0,0,0.9977708333333334,1.0,1.0,0,0.9977708333333334,1.0,1.0
16,3,11,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,3,16,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,4,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,4,2,200,interior,0,0,197,197,197,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.998125,1.0,1.0,0,0.998125,1.0,1.0,0,0.998125,1.0,1.0
16,4,3,200,interior,0,0,83,83,83,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0013636363636365,1.0,1.0,0,0.94875,0.9166666666666666,1.0,0,0.94875,0.9166666666666666,1.0,0,0.94875,0.9166666666666666,1.0
16,4,4,200,interior,2,2,1,1,1,0,0.01,0.0,0,0,0.01,0.0,0,0,0.0005208333333333337,0.0,0.0,0,0.0005208333333333337,0.0,0.0,0,1.092062271062271,1.0714285714285714,1.1428571428571428,0,0.8669047619047618,0.875,0.9333333333333333,0,0.8663839285714287,0.875,0.9333333333333333,0,0.8663839285714287,0.875,0.9333333333333333
16,4,6,200,interior,0,0,182,182,182,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9943541666666667,1.0,1.0,0,0.9943541666666667,1.0,1.0,0,0.9943541666666667,1.0,1.0
16,4,8,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
16,4,16,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,2,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,2,3,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,2,5,200,interior,0,0,199,199,199,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9995,1.0,1.0,0,0.9995,1.0,1.0,0,0.9995,1.0,1.0
20,2,8,200,interior,2,2,41,41,41,0,0.01,0.0,0,0,0.01,0.0,0,0,0.000541666666666667,0.0,0.0,0,0.000541666666666667,0.0,0.0,0,1.023595238095238,1.0,1.0666666666666667,0,0.9246875,0.9375,1.0,0,0.9241458333333334,0.9375,1.0,0,0.9241458333333334,0.9375,1.0
20,2,10,200,interior,0,0,81,81,81,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0184423374613003,1.0,1.0588235294117647,0,0.9484586343309254,0.9444444444444444,1.0,0,0.9484586343309254,0.9444444444444444,1.0,0,0.9484586343309254,0.9444444444444444,1.0
20,2,15,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,2,20,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,3,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,3,2,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,3,4,200,interior,0,0,178,178,178,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9904166666666667,1.0,1.0,0,0.9904166666666667,1.0,1.0,0,0.9904166666666667,1.0,1.0
20,3,5,200,interior,0,0,63,63,63,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0046428571428572,1.0,1.0,0,0.9466666666666668,0.9333333333333333,1.0,0,0.9466666666666668,0.9333333333333333,1.0,0,0.9466666666666668,0.9333333333333333,1.0
20,3,7,200,interior,0,0,13,13,13,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0440385276917785,1.0526315789473684,1.1111111111111112,0,0.9066836085311317,0.9,0.95,0,0.9066836085311317,0.9,0.95,0,0.9066836085311317,0.9,0.95
20,3,10,200,interior,0,0,193,193,193,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9979605263157895,1.0,1.0,0,0.9979605263157895,1.0,1.0,0,0.9979605263157895,1.0,1.0
20,3,14,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,3,20,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,4,1,200,k=1,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,4,2,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,4,3,200,interior,0,0,168,168,168,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.9866666666666667,1.0,1.0,0,0.9866666666666667,1.0,1.0,0,0.9866666666666667,1.0,1.0
20,4,4,200,interior,0,0,28,28,28,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0136666666666665,1.0,1.0666666666666667,0,0.931875,0.9375,1.0,0,0.931875,0.9375,1.0,0,0.931875,0.9375,1.0
20,4,5,200,interior,1,1,1,1,1,0,0.005,0.0,0,0,0.005,0.0,0,0,0.00021052631578947323,0.0,0.0,0,0.00021052631578947323,0.0,0.0,0,1.0951986584107327,1.1111111111111112,1.1111111111111112,0,0.8646052631578948,0.85,0.9,0,0.8643947368421052,0.85,0.9,0,0.8643947368421052,0.85,0.9
20,4,8,200,interior,0,0,192,192,192,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,0.998,1.0,1.0,0,0.998,1.0,1.0,0,0.998,1.0,1.0
20,4,10,200,interior,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
20,4,20,200,k=M,0,0,200,200,200,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0,0,1.0,1.0,1.0
