graphs,diagnostic_graphs,budget_rows,backend,workers,median_seconds,min_seconds,max_seconds,graphs_per_second,peak_process_bytes
90,90,650,numba,1,15.918410199999926,15.839232999998785,16.301926000000094,5.653830933443367,117600256
90,90,650,numba,2,9.593591799999558,9.540911000000051,9.70830980000028,9.381262187953853,116482048
90,90,650,numba,4,6.188364699999511,6.185679500000333,6.300620699999854,14.543422109561046,116088832
90,90,650,python,4,21.964675799999895,21.678735700001198,22.0979071999991,4.097488204219268,30257152
360,288,2600,numba,1,53.42551900000035,52.963870399998996,55.77030259999992,6.738352883385141,118255616
360,288,2600,numba,2,30.063546100000167,29.903274799999053,30.53638359999968,11.97463528761825,116457472
360,288,2600,numba,4,17.974712200000795,17.754648500000258,17.977029499999844,20.028137084719724,116273152
360,288,2600,python,4,69.40326169999935,68.45838849999927,70.99385809999876,5.187076099623765,30326784
1800,288,13000,numba,1,175.09176300000036,172.13499039999988,175.83915969999907,10.28032369518146,120369152
1800,288,13000,numba,2,95.69839239999965,95.694531000001,96.11160949999976,18.80909339078936,116260864
1800,288,13000,numba,4,55.16205719999925,55.11398999999983,55.39810810000017,32.63112529458064,116703232
1800,288,13000,python,4,106.74660119999862,106.39785579999989,107.02283259999967,16.862363576593417,30560256
