population,config_hash,case_id,N,M,X,theta,theta_lower,theta_upper,theta_status,failure_rate,tie_avoidable_rate,first_loss_1,first_loss_2,first_loss_3,first_loss_4,one_swap_recovered,two_swap_recovered,one_swap_recovery_rate,two_swap_recovery_rate,one_swap_stalls,two_swap_stalls,gap_defined_n,zero_optimum_n,mean_greedy_gap,mean_one_swap_gap,mean_two_swap_gap
confirmation,9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap,3000,755,337,0.446357615894,0.405494535682,0.487754221476,estimable,0.251666666667,0.112333333333,655,87,13,0,657,752,0.870198675497,0.996026490066,98,3,3000,0,0.0086679585742,0.00100607927684,3.03215983363e-05
confirmation,9cb778eb27d01e6883ef2fc0c0f119288af0eedaefc514eb442d347858898545,overlap_control,3000,1147,453,0.394943330427,0.362540938596,0.428031509337,estimable,0.382333333333,0.151,423,430,294,0,372,905,0.324324324324,0.789014821273,775,242,3000,0,0.00917742830712,0.00596962774523,0.00174143668414
