base_graph_id,n,d,k,greedy,optimum,upper,initial_upper,certified_optimal,initial_certified_optimal,trivial_endpoint,tightening,upper_over_optimum,relative_upper_slack,greedy_ratio,certified_ratio,relative_gap_bound
r2-preflight-n12-d2-r0000,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0000,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0000,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0000,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-preflight-n12-d2-r0000,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-preflight-n12-d2-r0000,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0000,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0001,12,2,1,2,2,2,2,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0001,12,2,2,4,4,4,4,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0001,12,2,3,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0001,12,2,5,9,10,10,10,0,0,0,0,1.0,0.0,0.9,0.9,0.09999999999999998
r2-preflight-n12-d2-r0001,12,2,6,10,11,11,11,0,0,0,0,1.0,0.0,0.9090909090909091,0.9090909090909091,0.09090909090909094
r2-preflight-n12-d2-r0001,12,2,9,11,11,11,11,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d2-r0001,12,2,12,11,11,11,11,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0000,12,3,1,3,3,3,3,1,1,1,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0000,12,3,2,6,6,6,6,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0000,12,3,3,8,9,9,9,0,0,0,0,1.0,0.0,0.8888888888888888,0.8888888888888888,0.11111111111111116
r2-preflight-n12-d3-r0000,12,3,4,10,11,12,12,0,0,0,0,1.0909090909090908,0.09090909090909091,0.9090909090909091,0.8333333333333334,0.16666666666666663
r2-preflight-n12-d3-r0000,12,3,6,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
r2-preflight-n12-d3-r0000,12,3,8,12,12,12,12,1,1,0,0,1.0,0.0,1.0,1.0,0.0
