n,d,k,lambda,count,failures,failure_rate,failure_lower,failure_upper,mean_greedy,mean_optimum,ratio_of_means,ratio_of_means_lower,ratio_of_means_upper,mean_ratio,mean_ratio_lower,mean_ratio_upper,mean_relative_gap,mean_relative_gap_lower,mean_relative_gap_upper,mean_absolute_loss,mean_absolute_loss_lower,mean_absolute_loss_upper
20,3,4,0.6,200,22,0.11,0.07023316352921176,0.16179621556950016,11.885,12.0,0.9904166666666666,0.98625,0.9941666666666666,0.9904166666666666,0.98625,0.9941666666666665,0.009583333333333333,0.005833333333333333,0.013749999999999998,0.115,0.07,0.165
20,3,5,0.75,200,130,0.65,0.5795493775220064,0.715929329677058,14.2,14.935,0.9507867425510546,0.9451137884872824,0.9564343163538874,0.9508571428571428,0.9451904761904762,0.9565238095238096,0.04914285714285715,0.04347619047619048,0.05480952380952381,0.735,0.65,0.82
20,3,7,1.05,200,144,0.72,0.6523112627953918,0.781038844329967,17.34,18.345,0.9452166802943581,0.9393197278911565,0.9509993762071457,0.9455702614379087,0.9396908195734435,0.9513743442552461,0.054429738562091504,0.04862565574475404,0.06030918042655658,1.005,0.9,1.115
20,3,10,1.5,200,7,0.035,0.014185525898419246,0.0707809983509772,19.105,19.145,0.9979106816401149,0.996089651255586,0.999219968798752,0.9979605263157895,0.9961973684210526,0.9992500000000001,0.0020394736842105268,0.0007500000000000001,0.0038026315789473687,0.04,0.015,0.075
20,3,14,2.1,200,0,0.0,0.0,0.018275340355136237,19.145,19.145,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,3,20,3.0,200,0,0.0,0.0,0.018275340355136237,19.145,19.145,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,1,0.2,200,0,0.0,0.0,0.018275340355136237,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,2,0.4,200,0,0.0,0.0,0.018275340355136237,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,3,0.6,200,32,0.16,0.11208749764580186,0.2182990153513408,11.84,12.0,0.9866666666666667,0.9825,0.9908333333333333,0.9866666666666666,0.9824999999999998,0.9908333333333332,0.013333333333333332,0.009166666666666665,0.0175,0.16,0.11,0.21
20,4,4,0.8,200,146,0.73,0.6628474093126694,0.7901966625338547,14.91,15.795,0.9439696106362773,0.9384080859128238,0.949763793698053,0.9443541666666667,0.93875,0.9501666666666666,0.05564583333333333,0.049833333333333334,0.06125,0.885,0.795,0.975
20,4,5,1.0,200,144,0.72,0.6523112627953918,0.781038844329967,17.105,18.08,0.9460730088495575,0.9400768363156767,0.952024403771492,0.946420708634331,0.9404625042999657,0.9523073615411077,0.05357929136566907,0.04769263845889233,0.0595374957000344,0.975,0.865,1.085
20,4,8,1.6,200,8,0.04,0.017424808994480595,0.07729196822601608,19.755,19.795,0.9979792876989139,0.9964673227353016,0.9992424242424243,0.998,0.9965,0.9992500000000001,0.002,0.0007500000000000001,0.0034999999999999996,0.04,0.015,0.07
20,4,10,2.0,200,0,0.0,0.0,0.018275340355136237,19.795,19.795,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
20,4,20,4.0,200,0,0.0,0.0,0.018275340355136237,19.795,19.795,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
