config_hash,case_id,instance_id,run_id,case,repetition,seed,family,universe_size,set_count,k,parameters,algorithm_id,algorithm_seed,algorithm,algorithm_options,algorithm_metadata,status,coverage,best_bound,optimum,optimality_gap,runtime_seconds,is_exact,timed_out,nodes_or_iterations,selected,error_message,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,3d432cebd75033067c5d93bfd775e0bb411079ae87bbafbbec9f7424e541946a,overlap,5,16941105954642047138,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,34,,36,0.0555555556,0.0000173000,False,False,58,1 4 5 14,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,6907fe3969bf30bbd82deda6f911aacb2cf775113b43a06925dd8f0f9f57ffff,overlap,5,16941105954642047138,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,36,36,36,0.0000000000,0.0006809000,True,False,1820,1 4 11 14,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,4fe832b7d0ef10ecdf008468d3ef30666f40dce726aea19ab7a8a03ab1bb4dd1,c165344e99772c6b60492f84bb71ee4dc84b43f102a50512c1e3cde338b3cf86,overlap,6,16941105954642047139,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000169000,False,False,58,0 2 11 12,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,4fe832b7d0ef10ecdf008468d3ef30666f40dce726aea19ab7a8a03ab1bb4dd1,6fc1a7de65b12979b499c58ef289b38a05896699e11981d85bc136acdc4b254b,overlap,6,16941105954642047139,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006762000,True,False,1820,0 2 11 12,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,cdff6e615ac8f928634d1971106a3cbe59516225b082752cf9d1d0e38c3c5f6a,01153dd94abffcfe42b8157ad1c87ca1b62dab4e6999eef719d7721400be6e04,overlap,7,16941105954642047140,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,33,,33,0.0000000000,0.0000159000,False,False,58,0 1 8 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,cdff6e615ac8f928634d1971106a3cbe59516225b082752cf9d1d0e38c3c5f6a,e422f1f4b1e05c9e206bb2a1dc20742cb065f9be7fd77d4b4f23e6631c8361fd,overlap,7,16941105954642047140,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,33,33,33,0.0000000000,0.0006803000,True,False,1820,0 1 8 9,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a28a1bf8ba4bbf6fc9a95bb82bb92268498c1f3d71d40cfa6841fe70599d03d2,149f657dcd5897b8637bc1875c28fb237fdd4c946abec3642c47df85f654023c,overlap,8,16941105954642047141,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000166000,False,False,58,0 2 5 8,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,a28a1bf8ba4bbf6fc9a95bb82bb92268498c1f3d71d40cfa6841fe70599d03d2,5faecc9a3ad592d61cbc92802db10e8ea36af467f6faf8eee31e5bf424c729db,overlap,8,16941105954642047141,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006768000,True,False,1820,0 2 4 8,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,e079a5e27481ede58a7627b4f9edbc88d0ef8391c65ab63f06276292001eeb47,c78543d8cd19f6a1ffce7059914e2c4d48ce0c29d84e79e6ad2dff92716aa40b,overlap,9,16941105954642047142,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",greedy,,greedy,{},"{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",feasible,32,,32,0.0000000000,0.0000167000,False,False,58,1 10 11 12,,4
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,e079a5e27481ede58a7627b4f9edbc88d0ef8391c65ab63f06276292001eeb47,88ddbd779cd2424a06219f4f85d1af51691c3b21036e2a4d6b81215ef41afd83,overlap,9,16941105954642047142,high_overlap,48,16,4,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",exact_reference,,brute_force,"{""max_set_count"":16,""time_limit_seconds"":null}","{""schema_version"":1,""search"":{},""termination"":""completed"",""trajectory"":[]}",optimal,32,32,32,0.0000000000,0.0006638000,True,False,1820,1 10 11 12,,4
