config_hash,case_id,instance_id,repetition,family,parameters,reference_status,exact_solver_statuses,reference_source_ids,proof_source_count,has_known_optimum_certificate,provably_optimal,optimum,cross_validation_status,small_instance_cross_validated,schema_version
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,0b13825350786855767a1829c8b2fbc8fde64a4288af3622a9edd71b8b48a7bb,16,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,33,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,f45b89977b84c81bec6b227e805632f462b2aa8bebfe9367fbe245bbe2b14453,17,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,33,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,89068cf24251b4c2c2ccbb49b2a9027bbed779bdcef2872a90d0b58d40f440d0,18,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,36,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,51887cf94427b4aa2fe8814f5f9f646b687dc68d9db21989cf5b3d03d5c8b906,19,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,32,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,2e7acfe052238af3077c2345101ca01d2436ac5f6aab714ec122385d866f87a3,20,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,30,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,5598172e6414ecb003525c6979d338a9f75ee028c0bb884aebcfb2ed21ec5ca1,21,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,32,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,242ff00f643109291ee98b9c5608e2e27bf9e644043b8f91eb120a7d06783512,22,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,35,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,c619c52d7dfe38b347f8d1061e34d3b538efa89a9c21cb64b833b3f916825dc6,23,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,35,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,6d4fd619ff64b9c416ea081b00cb06c4c0232633e7ffb7a1362b3f70975f620e,24,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,36,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,c304bb37fda9f5bd26d6d6ce076a1eb2856ff42894fd5d32029caf556b3b0560,25,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,36,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,e8dec0c9ac610d3fc8c3a98383f8bba47b90e752783ffff1dc1e3c38177a007a,26,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,34,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,38a472d3d5cfee79f115e0e0f68d872da8547783737d01b38e462ddf0c13ff5c,27,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,34,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,c11aec739757a8a5fea07774dacb86e363a14c132d6dc6f1240b95f4ee7516c1,28,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,33,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap,df67c746a4d18cc703ad6a2f4cb1b02775d58ef4915fb0af157647b42167c29b,29,high_overlap,"{""core_fraction"":0.5,""core_probability"":0.8,""peripheral_probability"":0.05}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,32,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,a09c34b66aa71b8293881ecadd3e2b10828a19e24bdfa0105f203c3ffdb60dd9,0,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,f605f95c8641588bea61a29e52a2c2172490a381d959098567d6b16bb5f6be0f,1,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,adef023aa611b4a54987b7897cf8cc3981565fb76ef3ab4386fbe90d3f9ba926,2,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,46,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,c584841fc576f1648f2472b1d92048108ff4e12393c7eafbffcaf525690a4b38,3,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,1c691bb8cb1d3846acd861a1a2f28ed47da363130e9ed1bcc9f1f8943329bd77,4,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,0c90388243a099057a60d2a6ea29c7af7f41959f738addbd5d3d1241a50891c8,5,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,16019fba3fa1d3378da2191ce2d33e3554ec55aba327b062f4986b00e83508f2,6,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,ba9895990e3a322b4da13d00898ace713773630803cae54d27fef4a759c9566f,7,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,8f1a406694a849ad32c641237e83de5be58775677007e8d5b8f8cbf6c8d46a1c,8,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,964e90efb8499d7a8532a00bcf62b0f0bc1b1a898670ae6d5b4b022b8e465d2f,9,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,877cd1c7d11b66b352ef7f72ad8ba1f08db0e66687fa5b86a109764a9ebbeb48,10,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,ce66a719f5bd81c704fa6b052ef79fdc7e8f22754c5a7c3d958af8ce3414c1d1,11,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,8c2e5ee993efa4a942e4e63ed6be07cc2dd05a036a50e3019100e612df111514,12,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,9fd4ef799456aff8334019d6c48c07635266692a13320a3fe1d2c9c74b6e9b56,13,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,c30d9a2d05ee2d7cabdbf84a8e7d7cdf2021beac465bc360c46fce662f817bef,14,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,91f41fdf2ac2721f3cde308da50b8076ebb3ab7b0e99bc95972570cb3106b4ea,15,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,761339b7106565ffa341e6ef9526d83e7b74cdfe57d264a6f73557de6f1678b1,16,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,bfb7c37422748eaf7b45da0af2722431a8784ad2e56ab495ed2635d766c74cd9,17,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,79b14664b544fc4f174b1ed3e9cc6be721c48381ce05ee49ad961ea91640e3bf,18,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,3800e6a0173a04c2846b8a6b1132886b262f35947364f584e6fa4a31c00a08fe,19,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,7f641e6fb16260633a1f0307736dd12d96db8956e151bd10ab37790f3626d9f3,20,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,47,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,d8e405ff6ec97b26811e11327cfd6fbf3d6c173e1eb89894d3624b1d6a4655a1,21,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,47,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,23fc168f4bd5406de935683ceb3fd3f210f8f597899c864a1723e37f1d7ed765,22,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,6535c24452fd224fe455f971ed192e1715136842f59ec429774a1faf483c4cbd,23,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,e0abe923771966c283e8f3d7de2ccd2460ae981a6e68519995ac2bdb1257eee5,24,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,ddbd8b6b78a67ac867f7f28fde498c68cf165044326f65e88c0e6ab6021f3e55,25,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,d24d0fa94d38b49a32d81d64f9f520cfc199d5da256f65da539c4946c8a420d3,26,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,01ce288add3431d096694c500e9cf08d438788e22bab1eee0638317fbd1bb115,27,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,6baae96ed6dcc9e9d6899c3753466542c059a8fa12133c6fc496401e7c1f3787,28,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,overlap_control,d7c44aeacb9eb2106506f7e4c1ce3bc39a67044353df112097cd13eb4640afc7,29,uniform,"{""density"":0.425}",optimal,"{""exact_reference"":""optimal""}","[""exact_reference""]",1,False,True,48,single_source,False,1
