config_hash,repetition,treatment_case_id,treatment_instance_id,treatment_effective_seed,treatment_greedy_coverage,treatment_exact_optimum,treatment_failure,treatment_gap,treatment_pairwise_overlap_mean_jaccard,treatment_actual_density,treatment_mean_set_size,treatment_covered_element_count,treatment_coverage_skew_gini,control_case_id,control_instance_id,control_effective_seed,control_greedy_coverage,control_exact_optimum,control_failure,control_gap,control_pairwise_overlap_mean_jaccard,control_actual_density,control_mean_set_size,control_covered_element_count,control_coverage_skew_gini
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,0,overlap,40c0c5afc4dda1a0df30227d6cc686bac187e48a119a83447e19eceb0fab3296,16941105954642047133,32,33,1,0.030303030303030304,0.5867122231633102,0.41796875,20.0625,39,0.4917478623980911,overlap_control,a09c34b66aa71b8293881ecadd3e2b10828a19e24bdfa0105f203c3ffdb60dd9,16941105954642047133,46,48,1,0.041666666666666664,0.2722022551985806,0.4166666666666667,20.0,48,0.18949468085106383
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,1,overlap,8a6d7aa05716e9e275a5aae3dbf6d0073fcbe627742b8d154335ad5495acde23,16941105954642047134,34,34,0,0.0,0.5876622418685762,0.4192708333333333,20.125,38,0.4957050350204837,overlap_control,f605f95c8641588bea61a29e52a2c2172490a381d959098567d6b16bb5f6be0f,16941105954642047134,47,48,1,0.020833333333333332,0.26262680696619073,0.42578125,20.4375,48,0.14281996226169563
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,2,overlap,8b383b2c06f74afe28a978a97367fb3145be0ad2f32d5d8c913f0148abafbd97,16941105954642047135,33,34,1,0.029411764705882353,0.5242940403849949,0.40234375,19.3125,40,0.4861943124698754,overlap_control,adef023aa611b4a54987b7897cf8cc3981565fb76ef3ab4386fbe90d3f9ba926,16941105954642047135,46,46,0,0.0,0.27142482337247353,0.4153645833333333,19.9375,48,0.18842126325618622
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,3,overlap,6fbf48a3b338a477323f8e939a4aa995161eef661988be01737974c01b46d817,16941105954642047136,32,32,0,0.0,0.6214959857641017,0.4231770833333333,20.3125,37,0.5099181669394436,overlap_control,c584841fc576f1648f2472b1d92048108ff4e12393c7eafbffcaf525690a4b38,16941105954642047136,47,48,1,0.020833333333333332,0.30098016114177145,0.45703125,21.9375,48,0.16178699157422563
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,4,overlap,a0ce61b3e540edcf79a8557ade2576e6049c480b947890a3a5cf4e8ff5b8f796,16941105954642047137,32,32,0,0.0,0.5903067364942053,0.4088541666666667,19.625,35,0.5114514161810544,overlap_control,1c691bb8cb1d3846acd861a1a2f28ed47da363130e9ed1bcc9f1f8943329bd77,16941105954642047137,47,48,1,0.020833333333333332,0.25403392471937036,0.4075520833333333,19.5625,48,0.16769764122085515
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,5,overlap,af1d4c117177a5631d0f9956fa6b50d2eb189e90a85a026f56c88aabc367b76f,16941105954642047138,34,36,1,0.05555555555555555,0.6143906340573008,0.4388020833333333,21.0625,40,0.4805227602752699,overlap_control,0c90388243a099057a60d2a6ea29c7af7f41959f738addbd5d3d1241a50891c8,16941105954642047138,48,48,0,0.0,0.2625673121516797,0.43359375,20.8125,48,0.12222861159031372
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,6,overlap,4fe832b7d0ef10ecdf008468d3ef30666f40dce726aea19ab7a8a03ab1bb4dd1,16941105954642047139,32,32,0,0.0,0.6394735791884093,0.42578125,20.4375,34,0.513045741427549,overlap_control,16019fba3fa1d3378da2191ce2d33e3554ec55aba327b062f4986b00e83508f2,16941105954642047139,48,48,0,0.0,0.2953906678358834,0.4596354166666667,22.0625,48,0.14785124465071425
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,7,overlap,cdff6e615ac8f928634d1971106a3cbe59516225b082752cf9d1d0e38c3c5f6a,16941105954642047140,33,33,0,0.0,0.6392976047473174,0.4401041666666667,21.125,38,0.4962860380208989,overlap_control,ba9895990e3a322b4da13d00898ace713773630803cae54d27fef4a759c9566f,16941105954642047140,48,48,0,0.0,0.2957302763954492,0.4544270833333333,21.8125,48,0.14881424129732365
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,8,overlap,a28a1bf8ba4bbf6fc9a95bb82bb92268498c1f3d71d40cfa6841fe70599d03d2,16941105954642047141,32,32,0,0.0,0.6058785601140674,0.421875,20.25,37,0.5045967953769372,overlap_control,8f1a406694a849ad32c641237e83de5be58775677007e8d5b8f8cbf6c8d46a1c,16941105954642047141,47,48,1,0.020833333333333332,0.2707859149985092,0.4388020833333333,21.0625,48,0.12683881558179178
593d362a8a5bdcd8dc0366e9d1cb05238c6a07b8cc0c75419691511c53e8e17d,9,overlap,e079a5e27481ede58a7627b4f9edbc88d0ef8391c65ab63f06276292001eeb47,16941105954642047142,32,32,0,0.0,0.6127322714492781,0.4205729166666667,20.1875,36,0.5043804755944932,overlap_control,964e90efb8499d7a8532a00bcf62b0f0bc1b1a898670ae6d5b4b022b8e465d2f,16941105954642047142,48,48,0,0.0,0.29331994238304165,0.4505208333333333,21.625,48,0.16418644693149675
