id,size,repeat,backend,workers,production,analysis,summary,total
n9-r0-python,9,0,python,4,1.8119416000008641,3.3327549999994517,1.4376306000012846,6.589529199998651
n9-r0-numba,9,0,numba,4,2.465261199999077,3.3640180000002147,1.4894399000004341,7.325416499999847
n9-r0-cuda,9,0,cuda,1,2.4410193000003346,3.3843446999999287,1.4233953000002657,7.255703900002118
n1800-r0-python,1800,0,python,4,65.45765599999868,65.40597669999988,3.086607000001095,133.9575846000007
n1800-r0-numba,1800,0,numba,4,17.638369199998124,65.68761749999976,3.2137441000013496,86.54667009999685
n1800-r0-cuda,1800,0,cuda,1,50.74425100000008,64.72858760000236,3.1337969999985944,118.61396130000139
n1800-r1-numba,1800,1,numba,4,17.467271600002277,64.72072610000032,3.12241240000003,85.31798550000167
n1800-r1-cuda,1800,1,cuda,1,51.22172919999866,64.82998529999895,3.1154076999991958,119.17521370000031
n1800-r1-python,1800,1,python,4,65.88999820000026,87.76138910000009,3.2105350000019826,156.8724813000008
n1800-r2-cuda,1800,2,cuda,1,53.929571900000155,75.60221280000042,3.0944363999988127,132.6344054000001
n1800-r2-python,1800,2,python,4,78.71104449999984,74.71550310000384,3.0561123000006774,156.49134490000142
n1800-r2-numba,1800,2,numba,4,20.571065299998736,75.43808230000286,3.1504072999960044,99.16658330000064
