base_graph_id,instance_id,n,d,k,greedy,optimum,initial_upper,prefix_upper,dual_upper,endpoint,tightening_initial,tightening_prefix,initial_ratio,prefix_ratio,dual_ratio,ratio_gain_initial,ratio_gain_prefix,dual_over_optimum,initial_certified,prefix_certified,dual_certified
r2-preflight-n20-d3-r0001,3064da743ce0fa5ffb85aad7b27052f6a2f5fce608f6d9c43e95913b340654a8,20,3,14,18,18,18,18,18,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d3-r0001,c3e4aaff9d2fe3e29a9c6cb9f45fe9ee34b9bf83e026784163912fd7579da1fa,20,3,20,18,18,18,18,18,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,fc8eb9ecc415cced07a26f84e02687c5bd27f28296dcadece8d1289ea8675483,20,4,1,4,4,4,4,4,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,be56fc5be5f396674f34994a01d5a7e9718a1573bcb4f4d260639ea59516bf51,20,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,022ef9a839f675ac3bbde3136a093e41dd74dae8621c8effaa9612bc32b06acf,20,4,3,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,7bf6ea5eaba6aedbd85ceab39f69c134f2e875faa16f96815fcf9777e46e207b,20,4,4,15,15,16,16,16,interior,0,0,0.9375,0.9375,0.9375,0.0,0.0,1.0666666666666667,0,0,0
r2-preflight-n20-d4-r0000,bc404eed956a6859e13c4fd7414987276a60d0ac0748f0ca20930c0a62187daa,20,4,5,17,18,20,20,20,interior,0,0,0.85,0.85,0.85,0.0,0.0,1.1111111111111112,0,0,0
r2-preflight-n20-d4-r0000,2960db8df0287fb4d10a1b53ba45548c4cd72b49e693386033ea34adc7dba6e4,20,4,8,20,20,20,20,20,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,dc9c2a3e4dfd43b9d5badc1a10067193c439ef177a8a248013062f8624f5e63d,20,4,10,20,20,20,20,20,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0000,4926020922a7e21ec41007234c2b1ebcd203ece7bea4d8ad72b336d0cc8f9fa5,20,4,20,20,20,20,20,20,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,882fdde4b36143f94487a2e5d8e545160782db49335947aa91da1ffb025a73b9,20,4,1,4,4,4,4,4,k=1,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,576561300844a9c82a6d3081f1e1fa22cea1c29dc6a3f7b7cf535010ee7bfdce,20,4,2,8,8,8,8,8,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,e6e969799f73b2afc1ca1a007b46b61645c7214200ac6ad3ef34aac36d50523e,20,4,3,12,12,12,12,12,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,9e6efc071d7ad7f7fc800cd2f3c6772b15f908bdd530049e630705a27bde7c9c,20,4,4,15,15,16,16,16,interior,0,0,0.9375,0.9375,0.9375,0.0,0.0,1.0666666666666667,0,0,0
r2-preflight-n20-d4-r0001,64bbc49c1f481942dfe334ffca67425631c6cb0304e137b6ddbf71e195f8a9e4,20,4,5,17,17,19,19,19,interior,0,0,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.0,0.0,1.1176470588235294,0,0,0
r2-preflight-n20-d4-r0001,c294f681698be4efda01322ea149be46bf9f71555f0a822106bafb75902c199b,20,4,8,19,19,19,19,19,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,24fc818422563f59a8713802ac0ed7d8828be4c571fc5ff0c56c609f62ce24a5,20,4,10,19,19,19,19,19,interior,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
r2-preflight-n20-d4-r0001,d584f256f4ad8ea7e112382a7c997f28e9a2c18f4cc0ac8741f864a11b08fa96,20,4,20,19,19,19,19,19,k=M,0,0,1.0,1.0,1.0,0.0,0.0,1.0,1,1,1
