case_id,n,greedy_failures,tie_avoidable,one_step_limit,first_loss_1,first_loss_2,first_loss_3,first_loss_4,one_swap_recovered,two_swap_recovered,one_swap_stalls,two_swap_stalls,two_swap_incomplete,mean_greedy_gap,mean_one_swap_gap,mean_two_swap_gap,tie_avoidable_among_failures,tie_avoidable_among_all
overlap,30,12,8,4,10,1,1,0,10,12,2,0,0,0.0154555534335,0.00199404761905,0,0.666666666667,0.266666666667
overlap_control,30,10,0,10,5,3,2,0,0,8,10,2,0,0.0076536643026,0.00695921985816,0.00138888888889,0,0
