variant,completed,local_commit,step_seconds,wall_seconds,steps,failed_steps
before,True,ab1042aa35f3c3fc37974d2cd907cdb9028f0b82,269.2267246,269.3149568000008,12,
after,True,cb9fc80a72af8a0c57a3a871330884c3254e107b,166.49855269999998,166.56990909999877,7,
