phase,workload,repetition,order,variant,elapsed_seconds,exit_code,output_directory,log,command
warmup,resume,0,2,after,0.784059200,0,results/speed/warm-resume,logs\warmup-resume-0-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,1,1,before,1.276165300,0,results/speed/warm-resume,logs\measurement-resume-1-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,1,2,after,0.782457100,0,results/speed/warm-resume,logs\measurement-resume-1-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,2,1,after,0.770743900,0,results/speed/warm-resume,logs\measurement-resume-2-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,2,2,before,1.230372600,0,results/speed/warm-resume,logs\measurement-resume-2-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,3,1,before,1.161843700,0,results/speed/warm-resume,logs\measurement-resume-3-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,3,2,after,0.715870300,0,results/speed/warm-resume,logs\measurement-resume-3-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,4,1,after,0.741336100,0,results/speed/warm-resume,logs\measurement-resume-4-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,4,2,before,1.206336500,0,results/speed/warm-resume,logs\measurement-resume-4-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,5,1,before,1.239961900,0,results/speed/warm-resume,logs\measurement-resume-5-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,5,2,after,0.785841200,0,results/speed/warm-resume,logs\measurement-resume-5-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,6,1,after,0.751041300,0,results/speed/warm-resume,logs\measurement-resume-6-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,6,2,before,1.151836100,0,results/speed/warm-resume,logs\measurement-resume-6-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,7,1,before,1.264797000,0,results/speed/warm-resume,logs\measurement-resume-7-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
measurement,resume,7,2,after,0.784591700,0,results/speed/warm-resume,logs\measurement-resume-7-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe run_project.py benchmark --config configs/quick.json --output results/speed/warm-resume --workers 1
warmup,r1,0,1,before,0.756306400,0,results/speed/warm-r1,logs\warmup-r1-0-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/warm-r1 --no-plot
warmup,r1,0,2,after,0.742077800,0,results/speed/warm-r1,logs\warmup-r1-0-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/warm-r1 --no-plot
measurement,r1,1,1,before,0.729975400,0,results/speed/r1-1-attempt-1,logs\measurement-r1-1-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-1-attempt-1 --no-plot
measurement,r1,1,2,after,0.663102800,0,results/speed/r1-1-attempt-1,logs\measurement-r1-1-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-1-attempt-1 --no-plot
measurement,r1,2,1,after,0.709392400,0,results/speed/r1-2-attempt-1,logs\measurement-r1-2-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-2-attempt-1 --no-plot
measurement,r1,2,2,before,0.756444800,0,results/speed/r1-2-attempt-1,logs\measurement-r1-2-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-2-attempt-1 --no-plot
measurement,r1,3,1,before,0.744399800,0,results/speed/r1-3-attempt-1,logs\measurement-r1-3-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-3-attempt-1 --no-plot
measurement,r1,3,2,after,0.700466900,0,results/speed/r1-3-attempt-1,logs\measurement-r1-3-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-3-attempt-1 --no-plot
measurement,r1,4,1,after,0.767875000,0,results/speed/r1-4-attempt-1,logs\measurement-r1-4-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-4-attempt-1 --no-plot
measurement,r1,4,2,before,0.767460200,0,results/speed/r1-4-attempt-1,logs\measurement-r1-4-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-4-attempt-1 --no-plot
measurement,r1,5,1,before,0.798869600,0,results/speed/r1-5-attempt-1,logs\measurement-r1-5-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-5-attempt-1 --no-plot
measurement,r1,5,2,after,0.679749800,0,results/speed/r1-5-attempt-1,logs\measurement-r1-5-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-5-attempt-1 --no-plot
measurement,r1,6,1,after,0.658581500,0,results/speed/r1-6-attempt-1,logs\measurement-r1-6-1-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-6-attempt-1 --no-plot
measurement,r1,6,2,before,0.695538400,0,results/speed/r1-6-attempt-1,logs\measurement-r1-6-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-6-attempt-1 --no-plot
measurement,r1,7,1,before,0.768715900,0,results/speed/r1-7-attempt-1,logs\measurement-r1-7-1-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-7-attempt-1 --no-plot
measurement,r1,7,2,after,0.796649400,0,results/speed/r1-7-attempt-1,logs\measurement-r1-7-2-after.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/r1-7-attempt-1 --no-plot
invalid_harness_workflow,stage-task,1,1,before,0.089159700,0,,logs\workflow-stage-task-1-1-before.log,git add -- analysis/greedy_failure_paths.py analysis/validate_greedy_failure_paths.py analysis/r1_prefix_exchange_design.json analysis/r1_prefix_exchange_design.md tests/test_greedy_failure_paths.py
invalid_harness_workflow,generate-license,1,2,before,0.331552100,0,,logs\workflow-generate-license-1-2-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe .github/scripts/build_license_manifest.py
invalid_harness_workflow,stage-license,1,3,before,0.089648000,0,,logs\workflow-stage-license-1-3-before.log,git add -- LICENSE_MANIFEST.json
invalid_harness_workflow,r1-analysis,1,4,before,0.771141200,0,,logs\workflow-r1-analysis-1-4-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task --no-plot
invalid_harness_workflow,r1-independent-validation,1,5,before,1.207605600,0,,logs\workflow-r1-independent-validation-1-5-before.log,C:\Users\梁道\.cache\codex-runtimes\codex-primary-runtime\dependencies\python\python.exe analysis/validate_greedy_failure_paths.py --design analysis/r1_prefix_exchange_design.json --output results/speed/full-task
