id,backend,repeat,position,production_seconds,analysis_seconds,summary_verification_seconds,total_seconds
r0-python,python,0,0,106.62860989999899,167.73580800000127,3.323954600000434,277.70057830000223
r0-numba,numba,0,1,108.43413330000112,97.58479600000283,3.3181260999990627,209.34921770000074
r1-numba,numba,1,0,109.90944630000013,101.93449889999829,4.171042800000578,216.02752650000184
r1-python,python,1,1,110.72558760000175,181.95205590000114,3.3972744999991846,296.0899967000005
r2-python,python,2,0,115.0171534000001,172.34725419999813,3.9210235999998986,291.29850219999935
r2-numba,numba,2,1,112.46203249999962,102.87359939999806,3.2477537999984634,218.59599510000044
